(-9, 45, -153), [0, 0, 0], 3.9.aj_bt_afx 
(-6, 27, -99), [3, 0, 0], 3.9.ag_bb_adv 
(-6, 27, -90), [3, 0, 0], 3.9.ag_bb_adm 
(-3, 0, 18), [6, 0, 0], 3.9.ad_a_s 
(-3, 0, 36), [6, 0, 0], 3.9.ad_a_bk 
(-3, 9, -45), [6, 0, 0], 3.9.ad_j_abt 
(-3, 9, -36), [6, 0, 0], 3.9.ad_j_abk 
(-3, 9, -18), [6, 0, 0], 3.9.ad_j_as 
(-3, 9, -9), [6, 0, 0], 3.9.ad_j_aj 
(-3, 18, -36), [6, 0, 0], 3.9.ad_s_abk 
(0, 0, -36), [0, 0, 0], 3.9.a_a_abk 
(0, 0, -18), [0, 0, 0], 3.9.a_a_as 
(0, 0, 18), [0, 0, 0], 3.9.a_a_s 
(0, 0, 36), [0, 0, 0], 3.9.a_a_bk 
(0, 9, -18), [0, 0, 0], 3.9.a_j_as 
(0, 9, -9), [0, 0, 0], 3.9.a_j_aj 
(0, 9, 9), [0, 0, 0], 3.9.a_j_j 
(0, 9, 18), [0, 0, 0], 3.9.a_j_s 
(3, 0, -36), [3, 0, 0], 3.9.d_a_abk 
(3, 0, -18), [3, 0, 0], 3.9.d_a_as 
(3, 9, 9), [3, 0, 0], 3.9.d_j_j 
(3, 9, 18), [3, 0, 0], 3.9.d_j_s 
(3, 9, 36), [3, 0, 0], 3.9.d_j_bk 
(3, 9, 45), [3, 0, 0], 3.9.d_j_bt 
(3, 18, 36), [3, 0, 0], 3.9.d_s_bk 
(6, 27, 90), [6, 0, 0], 3.9.g_bb_dm 
(6, 27, 99), [6, 0, 0], 3.9.g_bb_dv 
(9, 45, 153), [0, 0, 0], 3.9.j_bt_fx 
