(-4, -5, -5), [4, 3, 3] 
(-5, -4, -3), [3, 4, 5] 
(0, -5, -5), [0, 3, 3] 
(-5, -4, -1), [3, 4, 7] 
(-4, -3, -3), [4, 5, 5] 
(-5, -3, 0), [3, 5, 0] 
(-4, -3, -1), [4, 5, 7] 
(-5, -1, 0), [3, 7, 0] 
(-4, -1, -1), [4, 7, 7] 
(0, -3, -3), [0, 5, 5] 
(-3, -1, 0), [5, 7, 0] 
(-3, 0, 1), [5, 0, 1] 
(0, -1, -1), [0, 7, 7] 
(-1, 0, 1), [7, 0, 1] 
(-1, 0, 3), [7, 0, 3] 
(0, 1, 1), [0, 1, 1] 
(0, 1, 3), [0, 1, 3] 
(0, 1, 5), [0, 1, 5] 
(0, 3, 3), [0, 3, 3] 
(4, 1, 1), [4, 1, 1] 
(0, 3, 5), [0, 3, 5] 
(1, 3, 4), [1, 3, 4] 
(0, 5, 5), [0, 5, 5] 
(1, 4, 5), [1, 4, 5] 
(4, 3, 3), [4, 3, 3] 
(3, 4, 5), [3, 4, 5] 
(4, 5, 5), [4, 5, 5] 
